Epsilon,N,VaR_prediction,VaR_theoretical,mu,sigma,confidence_level,T,dist,df,skew_alpha,rho
5.097975e-03,279,0.147258,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
3.364846e-03,295,0.155721,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
6.901614e-03,311,0.145454,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
9.942367e-04,329,0.151361,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
5.339985e-03,348,0.147016,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
3.394470e-03,368,0.155750,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.407025e-04,389,0.152496,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
2.299866e-03,411,0.150056,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
6.608279e-03,435,0.145747,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
2.463934e-03,459,0.149892,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
2.432251e-03,486,0.149923,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
5.224389e-03,513,0.147131,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
5.413054e-03,543,0.157769,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.525792e-03,574,0.150830,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
9.113947e-04,606,0.151444,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
3.108281e-03,641,0.149247,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
6.408258e-03,678,0.145947,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.089935e-03,716,0.151266,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
9.917877e-04,757,0.151364,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
2.402942e-03,800,0.154759,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
5.374507e-03,846,0.157730,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.787166e-03,894,0.154143,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
2.124755e-03,946,0.154480,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
4.062586e-03,1000,0.156418,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
5.129789e-03,1057,0.157485,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
7.327986e-03,1117,0.159684,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.514441e-03,1181,0.153870,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
8.513397e-04,1248,0.153207,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.683938e-03,1319,0.154040,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
2.253106e-03,1395,0.150103,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
3.322060e-03,1474,0.155678,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.785694e-04,1558,0.152534,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
2.443745e-03,1647,0.149912,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.672722e-03,1741,0.150683,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.247736e-03,1841,0.153603,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
8.168262e-04,1946,0.153173,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
2.886403e-03,2057,0.149469,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
7.300072e-04,2174,0.153086,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.723850e-03,2298,0.150632,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
3.134225e-03,2429,0.149221,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
2.249928e-03,2568,0.150106,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
6.367228e-04,2714,0.152992,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.689040e-03,2869,0.150667,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
2.849626e-04,3033,0.152071,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
2.200658e-03,3206,0.154556,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
2.830951e-03,3389,0.155187,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
2.410080e-03,3582,0.154766,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
4.719617e-04,3787,0.151884,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
2.053335e-03,4003,0.150302,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
4.363060e-05,4231,0.152399,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
2.265291e-03,4473,0.154621,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
3.816520e-04,4728,0.152737,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
8.980704e-04,4997,0.151458,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
3.546053e-03,5283,0.155902,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.975487e-03,5584,0.154331,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
6.363300e-04,5903,0.152992,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.158082e-03,6239,0.151198,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
2.216286e-04,6595,0.152577,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.610191e-05,6972,0.152340,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
8.220678e-04,7370,0.151534,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
2.002134e-03,7790,0.150354,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
4.477691e-04,8234,0.151908,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
7.867291e-04,8704,0.151569,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.337590e-03,9201,0.153693,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
2.645889e-04,9726,0.152091,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
2.203203e-03,10281,0.154559,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
5.089819e-04,10867,0.151847,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
8.709666e-04,11487,0.151485,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
3.088857e-04,12143,0.152047,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
6.621348e-05,12836,0.152422,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.024040e-03,13568,0.153380,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
5.685518e-05,14342,0.152413,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.520474e-03,15160,0.153876,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
9.864524e-04,16025,0.151369,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.425688e-04,16940,0.152498,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
4.445921e-05,17906,0.152311,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
6.450816e-04,18928,0.151711,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
9.691806e-05,20008,0.152259,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
7.918218e-06,21149,0.152348,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
3.756966e-05,22356,0.152393,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
3.107732e-04,23631,0.152045,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
4.050745e-04,24979,0.152761,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
8.927192e-04,26405,0.153248,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
2.075059e-05,27911,0.152376,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
4.384574e-04,29503,0.151917,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
8.555941e-04,31187,0.153211,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.211658e-04,32966,0.152477,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.930033e-04,34847,0.152549,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
4.613007e-04,36835,0.151894,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
4.588122e-04,38936,0.152814,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.675266e-04,41158,0.152188,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
7.318279e-04,43506,0.153088,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
7.119592e-04,45988,0.151644,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
4.511240e-04,48612,0.152807,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
2.432073e-04,51385,0.152599,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.031800e-04,54317,0.152459,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
3.007849e-04,57416,0.152656,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.624579e-04,60692,0.152518,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
5.088674e-04,64154,0.151847,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
3.926051e-04,67814,0.151963,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.581269e-04,71683,0.152514,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
4.416958e-04,75773,0.151914,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.936459e-06,80096,0.152358,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
3.373804e-04,84666,0.152693,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
4.270021e-04,89496,0.151929,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
2.064082e-04,94602,0.152562,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.769969e-05,100000,0.152338,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
6.512807e-06,105705,0.152349,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
7.289330e-05,111735,0.152283,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
4.016890e-05,118110,0.152396,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.284610e-04,124849,0.152484,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.186277e-04,131972,0.152474,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
2.210615e-04,139501,0.152577,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
4.034013e-05,147460,0.152315,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
3.361435e-04,155873,0.152692,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.211974e-04,164765,0.152234,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
6.954515e-05,174166,0.152425,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
4.118073e-04,184102,0.151944,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
2.405425e-04,194606,0.152596,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
2.146398e-05,205708,0.152377,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
3.812795e-04,217444,0.152737,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.424919e-04,229850,0.152213,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
2.043478e-04,242964,0.152560,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.534431e-04,256825,0.152509,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.074081e-04,271478,0.152248,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.892825e-04,286966,0.152166,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.499469e-04,303338,0.152206,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.430453e-04,320644,0.152213,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
7.672017e-05,338938,0.152432,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
2.838784e-05,358275,0.152327,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
6.259503e-05,378715,0.152418,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
8.414160e-05,400322,0.152272,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
5.552984e-05,423161,0.152411,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.724415e-04,447303,0.152528,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
3.733544e-06,472823,0.152352,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
2.595375e-04,499798,0.152096,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.464884e-04,528313,0.152209,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
5.613280e-05,558454,0.152300,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
5.010434e-05,590315,0.152306,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
2.078741e-04,623994,0.152148,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
3.009165e-05,659594,0.152326,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
2.225738e-04,697225,0.152133,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.816871e-04,737004,0.152174,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
3.471031e-05,779051,0.152321,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
6.178178e-05,823498,0.152294,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
9.719373e-05,870480,0.152453,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.029386e-04,920143,0.152459,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
7.857494e-05,972639,0.152434,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.306255e-04,1028130,0.152486,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
8.401554e-05,1086787,0.152272,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
9.955640e-05,1148790,0.152455,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
5.429135e-06,1214331,0.152361,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.853212e-04,1283611,0.152541,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.098163e-04,1356844,0.152466,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
9.055282e-05,1434255,0.152265,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
6.356204e-06,1516082,0.152362,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
8.444110e-06,1602578,0.152347,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
3.601677e-05,1694008,0.152320,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.408544e-04,1790655,0.152497,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
6.943875e-05,1892816,0.152286,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
5.721826e-06,2000805,0.152350,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
4.736627e-05,2114955,0.152308,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
3.974748e-05,2235617,0.152316,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.072568e-04,2363164,0.152248,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.101646e-04,2497988,0.152246,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.075304e-04,2640503,0.152248,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.526826e-06,2791149,0.152357,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.333183e-05,2950390,0.152342,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.201240e-04,3118716,0.152236,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
6.998242e-05,3296645,0.152286,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
7.469806e-05,3484726,0.152281,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
9.484315e-05,3683537,0.152451,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
2.150657e-05,3893690,0.152334,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
5.365583e-05,4115833,0.152409,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
6.960020e-05,4350650,0.152425,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
4.470666e-05,4598864,0.152311,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
7.448942e-06,4861239,0.152363,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
4.319772e-05,5138582,0.152399,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
4.450637e-05,5431749,0.152311,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.173013e-05,5741642,0.152367,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
6.319439e-06,6069215,0.152349,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
3.698821e-05,6415476,0.152319,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
6.858169e-05,6781492,0.152424,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.494773e-05,7168391,0.152371,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
8.241033e-06,7577362,0.152347,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
2.087266e-05,8009666,0.152377,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.844968e-05,8466635,0.152374,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.027557e-05,8949674,0.152345,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
8.172692e-07,9460271,0.152355,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
2.803562e-06,10000000,0.152358,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
