epsilon,alpha_fail,a_true,a_hat,abs_error,ci_low,ci_high,shots_total,grover_calls,ks_used
0.01,0.05,0.04418837675350702,0.044505353003951455,0.0003169762504444326,0.04095758213856101,0.0480531238693419,4096,4096,0;2
0.005,0.05,0.04418837675350702,0.04421138587282071,2.300911931368832e-05,0.04399936068241525,0.04442341106322618,6144,81920,0;2;38
0.3,0.1,0.04418837675350702,0.04785156250000001,0.003663185746492985,0.020807525271839263,0.07489559972816075,2048,0,0
0.2,0.1,0.04418837675350702,0.04443359375,0.0002452169964929779,0.01738955652183927,0.07147763097816073,2048,0,0
0.15,0.1,0.04418837675350702,0.04101562499999999,0.003172751753507029,0.01100553777125246,0.07102571222874753,2048,0,0
0.1,0.1,0.04418837675350702,0.04052734375,0.003661033003507022,0.010517256521252462,0.07053743097874754,2048,0,0
0.07,0.1,0.04418837675350702,0.04441668818671682,0.0002283114332097963,0.04135681546866151,0.04747656090477212,4096,4096,0;2
0.05,0.1,0.04418837675350702,0.04479868020407189,0.0006103034505648697,0.04170856248275887,0.04788879792538491,4096,4096,0;2
0.03,0.1,0.04418837675350702,0.04256897531039909,0.0016194014431079318,0.03954816604258436,0.045589784578213825,4096,4096,0;2
0.02,0.1,0.04418837675350702,0.04467031528848122,0.0004819385349741981,0.041404099667985354,0.047936530908977086,4096,4096,0;2
0.01,0.1,0.04418837675350702,0.043358208113050946,0.0008301686404560762,0.040137653023049405,0.04657876320305249,4096,4096,0;2
0.005,0.1,0.04418837675350702,0.04402165729890842,0.0001667194545986045,0.043850682159497265,0.04419263243831958,6144,90112,0;2;42
