num_samples,var_estimate,error,scaled_error,inv_error_sq,theoretical_var,confidence_level,mu,sigma,T,dist,df,skew_alpha,rho
77,1.488914924693594,0.18743457774222128,1.6447317446538718,28.464304435743024,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
82,1.3253996193377646,0.02391927238639191,0.21659822368279402,1747.849646596153,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
87,1.4237864578183044,0.12230611086693166,1.1407954565649767,66.85035023579688,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
92,1.2707670280139811,0.030713318937391598,0.2945918062910003,1060.099185255525,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
97,1.2884252508909335,0.013055096060439197,0.12857778468805417,5867.321101027522,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
102,1.2997936306790572,0.001686716272315536,0.01703499932186643,351492.3930621398,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
108,1.2611859343773242,0.04029441257404853,0.4187518190363657,615.9001959799857,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
114,1.342714910918217,0.04123456396684433,0.4402646661623875,588.1352192651118,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
121,1.255890645317968,0.04558970163340481,0.5014867179674529,481.13450090627333,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
128,1.2965266058782094,0.004953741073163265,0.05604518248121712,40750.54248088966,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
135,1.304059571159527,0.0025792242081543737,0.029967877212950703,150321.74454479627,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
143,1.3003267958482654,0.0011535511031073309,0.013794464871449709,751495.3927085057,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
151,1.2539044136352364,0.0475759333161363,0.584622856263864,441.7996489582546,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
160,1.3592333704139086,0.05775302346253586,0.7305243836110297,299.8130618430998,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
169,1.290136784734317,0.01134356221705568,0.14746630882172385,7771.43260679114,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
179,1.2510963286199208,0.050384018331451896,0.6740922231246333,393.9257743507095,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
189,1.2689021732192922,0.032578173732080495,0.4478758413920426,942.2074417590779,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
200,1.3333313101980548,0.03185096324668213,0.45044064198104855,985.7229273759108,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
211,1.2930040636292546,0.008476283322118139,0.12312512724821291,13918.392215824915,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
223,1.3387326900939687,0.037252343142595956,0.5562961140650352,720.5975987067603,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
236,1.3392124933816976,0.03773214643032485,0.5796522322224908,702.3878292584268,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
249,1.2566906238010223,0.04478972315035046,0.706769909992902,498.4748414799184,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
264,1.2355612685413613,0.06591907841001143,1.0710582492022842,230.13238903318927,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
279,1.3216410432418206,0.02016069629044792,0.3367500190073861,2460.304978685336,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
295,1.3317015192661046,0.03022117231473187,0.519065680374489,1094.907386816339,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
311,1.2992751894292305,0.0022051575221422315,0.038888376488485664,205646.2354846909,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
329,1.3155092697710058,0.014028922819633083,0.25446161249324817,5081.02519116436,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
348,1.304034766054534,0.0025544191031612318,0.047652070471271984,153255.3672647695,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
368,1.3625759592697695,0.061095612318396775,1.1720170539706405,267.9044678541749,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
389,1.309824057632757,0.008343710681384398,0.1645636976571021,14364.202765469976,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
411,1.2395684370176026,0.06191190993377016,1.255148504029315,260.88649391644395,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
435,1.3564869652224203,0.05500661827104758,1.1472539837905487,330.4989682746502,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
459,1.281275442716235,0.020204904235137766,0.432875632502396,2449.550556169602,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
486,1.2686686850023758,0.03281166194899687,0.7233464644896325,928.8456318883434,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
513,1.2518679298921374,0.04961241705923536,1.1236966041924874,406.27418545181087,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
543,1.3128920636144998,0.011411716663127125,0.26591993441508827,7678.882807847656,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
574,1.3028047842716386,0.001324437320265881,0.03173126281114102,570081.8051836049,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
606,1.3211209129556718,0.019640566004299087,0.4834931341594757,2592.340241918614,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
641,1.264964454721105,0.036515892230267744,0.9245085489187164,749.9566607324872,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
678,1.306441228078841,0.004960881127468397,0.12917357151627917,40633.32471540728,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
716,1.2718855814861565,0.029594765465216222,0.7919019524826711,1141.7478298764022,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
757,1.3097409953571877,0.008260648405814974,0.22728044845072257,14654.524261411803,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
800,1.2912937400771456,0.010186606874227122,0.28812075192189995,9636.9788973092,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
846,1.3085886417996153,0.007108294848242602,0.20675242653841153,19791.06350635048,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
894,1.2987503455516907,0.002730001399682047,0.0816265853272434,134175.82076677473,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
946,1.3303858320750812,0.028905485123708496,0.8890492722251894,1196.8493129928472,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
1000,1.3099986333604605,0.008518286409087805,0.2693718681437429,13781.469350975127,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
1057,1.3037188303967717,0.002238483445399009,0.07277653604726572,199568.6070975569,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
1117,1.3255480033025082,0.024067656351135502,0.80437837853712,1726.364100650688,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
1181,1.3145261103182215,0.013045763366848817,0.4483265364596713,5875.718845932294,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
1248,1.334447701177183,0.03296735422581021,1.1646391556715143,920.0931786844922,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
1319,1.3208419739787138,0.01936162702734112,0.703176336996203,2667.5729219562013,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
1395,1.2961781171043494,0.005302229847023332,0.19803668772269892,35569.92093364468,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
1474,1.321012351022701,0.01953200407132827,0.749886521951471,2621.2375922411907,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
1558,1.3075584886166551,0.006078141665282422,0.23991342169385044,27068.13686725799,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
1647,1.3148829688174655,0.013402621866092757,0.5439219240317174,5566.990373819675,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
1741,1.298026424452017,0.0034539224993557216,0.14411592514201346,83825.24339161075,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
1841,1.2942321364848073,0.00724821046656543,0.31099806702840505,19034.365702436487,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
1946,1.3049790714957592,0.003498724544386489,0.1543409502023371,81692.18207099063,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
2057,1.3007140335200897,0.0007663134312829722,0.03475550341460115,1702892.0770607057,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
2174,1.3154212920093107,0.01394094505793797,0.6500129147653604,5145.357663263452,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
2298,1.3096480247337747,0.008167677782402016,0.3915377209167922,14990.040536763438,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
2429,1.2953282297299606,0.006152117221412068,0.3032063966628371,26421.09400755524,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
2568,1.3012705913978684,0.00020975555350433162,0.010629454512632955,22728619.79786009,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
2714,1.2964293059225322,0.005051041028840464,0.26313936231440305,39195.68037650142,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
2869,1.285377316982632,0.0161030299687408,0.862527350468191,3856.4241834615614,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
3033,1.3023343424488567,0.0008539954974839947,0.04703182011563728,1371162.2185957269,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
3206,1.300704515534311,0.0007758314170616121,0.04392877789064535,1661365.8361306586,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
3389,1.3058051660204004,0.004324819069027708,0.2517698537784642,53464.32812333825,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
3582,1.3008050403378473,0.0006753066135254393,0.040416973881964836,2192794.8073823396,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
3787,1.2877136716299935,0.013766675321379207,0.8471820053530265,5276.450400671655,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
4003,1.3030645726434305,0.0015842256920577391,0.10023279646220301,398442.7195617526,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
4231,1.310085740981655,0.008605394030282376,0.5597476430927344,13503.877143787387,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
4473,1.3105480770806972,0.009067730129324492,0.6064542381254444,12161.939183125769,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
4728,1.2793736335490369,0.02210671340233583,1.5200676444809464,2046.2167625578757,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
4997,1.3144161404884551,0.012935793537082407,0.9144242822163094,5976.044865170443,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
5283,1.3085770256576699,0.007096678706297155,0.5158167595890557,19855.906220532484,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
5584,1.2997537002109683,0.0017266467404044583,0.12902569227474783,335423.1350572162,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
5903,1.2987445434727625,0.0027358034786102436,0.2101944714689675,133607.30538161425,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
6239,1.3127473817587059,0.011267034807333154,0.8899531176576151,7877.36062733998,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
6595,1.310289087646936,0.008808740695563255,0.7153543554573694,12887.608910997802,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
6972,1.3087550547329694,0.007274707781596668,0.6074272093845882,18895.95710578346,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
7370,1.2927497747225807,0.008730572228792033,0.7495083121144688,13119.418341127834,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
7790,1.306571441676944,0.0050910947255713435,0.44934499271932177,38581.369963763434,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
8234,1.3020527873845071,0.0005724404331344246,0.051944041039151054,3051682.8476507575,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
8704,1.297640688916762,0.0038396580346107267,0.3582217806795424,67828.92054361814,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
9201,1.2886474453748278,0.01283290157654493,1.230955572633365,6072.258803516296,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
9726,1.3045601257460886,0.0030797787947158817,0.30372927746520506,105429.20973927485,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
10281,1.2945732065427218,0.006907140408650925,0.7003513401513263,20960.58652801543,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
10867,1.3095231841343007,0.008042837182927975,0.8384247896373783,15459.001734285393,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
11487,1.2972889739557316,0.004191372995641096,0.4492205564865956,56922.947245789124,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
12143,1.302935763602384,0.001455416651011232,0.1603800471296191,472090.5656486441,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
12836,1.3021414867996621,0.000661139848289416,0.07490454805627364,2287775.118790615,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
13568,1.308454374696307,0.006974027744934386,0.8123470136642165,20560.452021227717,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
14342,1.3051774884252414,0.0036971414738686814,0.44276259951107655,73159.01692630706,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
